Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.1589	MAP.1585.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	22.933	93.655
MAP.21567	MAP.21567.collection		animal biting	man biting outdoors	indoor light trap		1988-01/1988-01	Solomon Islands	GAZ	00005275	-9.4209	160.179
MAP.19625	MAP.19625.collection		carbon dioxide baited net trap				1996-01/1996-01	Australia	GAZ	00000463	-17.3277	145.9387
MAP.59748	MAP.59748.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	2000-02/2000-02	Myanmar	GAZ	00006899	10.029	98.553
MAP.60659	MAP.60659.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-11/1998-11	Myanmar	GAZ	00006899	18.709	95.212
MAP.59667	MAP.59667.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	21.684	95.166
MAP.59668	MAP.59667.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	21.684	95.166
MAP.59669	MAP.59667.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	21.684	95.166
MAP.59670	MAP.59667.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	21.684	95.166
MAP.59671	MAP.59667.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	21.684	95.166
MAP.59672	MAP.59667.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	21.684	95.166
MAP.65711	MAP.65711.collection		larval collection				2005-04/2005-04	Indonesia	GAZ	00003727	-7.1006	106.6653
MAP.45783	MAP.45783.collection		house resting inside	resting outdoors			1992-02/1993-02	Papua New Guinea	GAZ	00003922	-5.356	145.755
MAP.45784	MAP.45783.collection		house resting inside	resting outdoors			1992-02/1993-02	Papua New Guinea	GAZ	00003922	-5.356	145.755
MAP.45785	MAP.45783.collection		house resting inside	resting outdoors			1992-02/1993-02	Papua New Guinea	GAZ	00003922	-5.356	145.755
MAP.45771	MAP.45771.collection		house resting inside	resting outdoors			1992-02/1993-02	Papua New Guinea	GAZ	00003922	-5.25	145.624
MAP.45772	MAP.45771.collection		house resting inside	resting outdoors			1992-02/1993-02	Papua New Guinea	GAZ	00003922	-5.25	145.624
MAP.45773	MAP.45771.collection		house resting inside	resting outdoors			1992-02/1993-02	Papua New Guinea	GAZ	00003922	-5.25	145.624
MAP.60281	MAP.60281.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	25.329	96.882
MAP.60282	MAP.60281.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	25.329	96.882
MAP.60283	MAP.60281.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	25.329	96.882
MAP.60284	MAP.60281.collection		larval collection	man biting	animal baited net trap	house resting inside	1998-05/2000-03	Myanmar	GAZ	00006899	25.329	96.882
MAP.4750	MAP.4750.collection		outlet window trap	house resting inside	man biting indoors	animal baited net trap	1994-10/1994-12	Sri Lanka	GAZ	00003924	7.649	80.827
MAP.58993	MAP.58993.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1998-02/1998-02	Myanmar	GAZ	00006899	21.898	96.057
MAP.23135	MAP.23135.collection		larval collection				1999-02/1999-03	Papua New Guinea	GAZ	00003922	-5.3749	154.5927
MAP.23136	MAP.23135.collection		larval collection				1999-02/1999-03	Papua New Guinea	GAZ	00003922	-5.3749	154.5927
MAP.23137	MAP.23135.collection		larval collection				1999-02/1999-03	Papua New Guinea	GAZ	00003922	-5.3749	154.5927
MAP.23400	MAP.23400.collection		carbon dioxide baited net trap	larval collection			1988-04/1990-05	Australia	GAZ	00000463	-12.6887	130.3889
MAP.30593	MAP.30593.collection		house resting inside				2004-03/2004-03	India	GAZ	00002839	22.067	85.016
MAP.30600	MAP.30593.collection		house resting inside				2004-03/2004-03	India	GAZ	00002839	22.067	85.016
MAP.30607	MAP.30593.collection		house resting inside				2004-03/2004-03	India	GAZ	00002839	22.067	85.016
MAP.30614	MAP.30593.collection		house resting inside				2004-03/2004-03	India	GAZ	00002839	22.067	85.016
MAP.749	MAP.749.collection		indoor light trap	man biting outdoors			1984-12/1985-10	Malaysia	GAZ	00003902	5.445	116.915
MAP.750	MAP.749.collection		indoor light trap	man biting outdoors			1984-12/1985-10	Malaysia	GAZ	00003902	5.445	116.915
MAP.25577	MAP.25577.collection		house resting inside	animal shed resting			1985-03/1985-03	India	GAZ	00002839	28.5615	77.1935
MAP.25602	MAP.25577.collection		house resting inside	animal shed resting			1985-03/1985-03	India	GAZ	00002839	28.5615	77.1935
MAP.58889	MAP.58889.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-12/1999-12	Myanmar	GAZ	00006899	16.949	94.453
MAP.16469	MAP.16469.collection		animal baited net trap	house resting inside	larval collection	outlet window trap	1990-09/1990-10	Sri Lanka	GAZ	00003924	8.317	80.414
MAP.23276	MAP.23276.collection		carbon dioxide baited net trap	larval collection			1988-05/1990-06	Australia	GAZ	00000463	-12.3893	136.8314
MAP.27709	MAP.27709.collection		light trap	man biting			1998-05/1998-05	Australia	GAZ	00000463	-12.67	132.876
MAP.58885	MAP.58885.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1999-06/1999-06	Myanmar	GAZ	00006899	16.949	94.453
MAP.61028	MAP.61028.collection		house resting inside	animal shed resting			2003-06/2003-08	India	GAZ	00002839	22.584	88.016
MAP.61040	MAP.61028.collection		house resting inside	animal shed resting			2003-06/2003-08	India	GAZ	00002839	22.584	88.016
MAP.61052	MAP.61028.collection		house resting inside	animal shed resting			2003-06/2003-08	India	GAZ	00002839	22.584	88.016
MAP.61064	MAP.61028.collection		house resting inside	animal shed resting			2003-06/2003-08	India	GAZ	00002839	22.584	88.016
MAP.60614	MAP.60614.collection		man biting outdoors	man biting indoors	animal baited net trap	house resting inside	1998-04/1998-04	Myanmar	GAZ	00006899	18.795	95.251
MAP.2105	MAP.2105.collection		man biting indoors	man biting outdoors			1998-04/1998-04	Viet Nam	GAZ	00003756	12.234	108.983
MAP.2113	MAP.2105.collection		man biting indoors	man biting outdoors			1998-04/1998-04	Viet Nam	GAZ	00003756	12.234	108.983
MAP.21866	MAP.21866.collection		man biting	animal biting	larval collection		2001-08/2001-08	China	GAZ	00002845	25.8	110
MAP.21867	MAP.21866.collection		man biting	animal biting	larval collection		2001-08/2001-08	China	GAZ	00002845	25.8	110
MAP.65212	MAP.65212.collection		larval collection				2005-02/2005-02	Indonesia	GAZ	00003727	-7.2256	106.4825
MAP.8047	MAP.8047.collection		man biting indoors	man biting outdoors	larval collection		1995-05/1995-05	Malaysia	GAZ	00003902	5.666	101.7
MAP.65111	MAP.65111.collection		larval collection				2005-06/2005-06	Indonesia	GAZ	00003727	-7.1919	106.9333
MAP.16738	MAP.16738.collection		animal baited net trap	house resting inside	larval collection	outlet window trap	1990-08/1990-08	Sri Lanka	GAZ	00003924	8.151	80.3
MAP.17136	MAP.17136.collection		larval collection				1994-08/1994-08	Sri Lanka	GAZ	00003924	8.1336	80.7459
MAP.17149	MAP.17136.collection		larval collection				1994-08/1994-08	Sri Lanka	GAZ	00003924	8.1336	80.7459
MAP.16627	MAP.16627.collection		animal baited net trap	house resting inside	larval collection	outlet window trap	1992-01/1992-02	Sri Lanka	GAZ	00003924	7.49	80.363
MAP.23566	MAP.23566.collection		carbon dioxide baited net trap	larval collection			1988-04/1990-05	Australia	GAZ	00000463	-12.2871	141.7688
MAP.27263	MAP.27263.collection		man biting				1986-11/1986-11	Thailand	GAZ	00003744	12.6	102.049
MAP.23504	MAP.23504.collection		carbon dioxide baited net trap	larval collection			1988-04/1990-05	Australia	GAZ	00000463	-13.6052	132.7612
MAP.59491	MAP.59491.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-06/1998-06	Myanmar	GAZ	00006899	24.209	96.436
MAP.59513	MAP.59491.collection		man biting indoors	man biting outdoors	animal baited net trap	house resting inside	1998-06/1998-06	Myanmar	GAZ	00006899	24.209	96.436
MAP.23015	MAP.23015.collection		larval collection				1999-02/1999-03	Papua New Guinea	GAZ	00003922	-5.0792	154.5457
MAP.23016	MAP.23015.collection		larval collection				1999-02/1999-03	Papua New Guinea	GAZ	00003922	-5.0792	154.5457
MAP.23017	MAP.23015.collection		larval collection				1999-02/1999-03	Papua New Guinea	GAZ	00003922	-5.0792	154.5457
MAP.1883	MAP.1883.collection		man biting indoors	man biting outdoors	animal baited net trap	larval collection	1997-01/1997-01	Myanmar	GAZ	00006899	14.633	97.932
MAP.269	MAP.269.collection		animal baited net trap				1990-01/1990-01	Malaysia	GAZ	00003902	5.5	101.183
MAP.285	MAP.269.collection		animal baited net trap				1990-01/1990-01	Malaysia	GAZ	00003902	5.5	101.183
MAP.18690	MAP.18690.collection		animal baited net trap	larval collection			1988-12/1988-12	Malaysia	GAZ	00003902	5.5667	100.3667
