Sample Name	Assay Name	Description	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Date	Country	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)	 Characteristics [Collection site longitude (VBcv:0000816)
2430	2430 collection		man biting indoors								1986-05-00/1987-04-00	Burkina Faso	GAZ	00000905	11.22	-4.641
2431	2431 collection		house resting inside								1986-09-00/1986-10-00	Burkina Faso	GAZ	00000905	11.22	-4.641
2435	2435 collection		man biting indoors								1985-05-00/1986-04-00	Burkina Faso	GAZ	00000905	11.22	-4.641
2436	2436 collection		man biting indoors								1986-05-00/1987-04-00	Burkina Faso	GAZ	00000905	11.22	-4.641
2437	2437 collection		human baited net trap								1987-09-00/1987-12-00	Senegal	GAZ	00000913	16.333	-16
2442	2442 collection		human baited net trap								1987-09-00/1987-12-00	Senegal	GAZ	00000913	16.333	-16
2447	2447 collection		man biting indoors		man biting outdoors		larval collection		house resting inside		1997-08-00/1997-09-00	Sudan	GAZ	00000560	14.962	35.909
2452	2452 collection		larval collection		house resting inside		man biting outdoors		man biting indoors		1997-08-00/1997-09-00	Sudan	GAZ	00000560	13.382	35.803
2453	2453 collection		house resting inside								1997-08-00/1997-09-00	Sudan	GAZ	00000560	16.731	33.541
2462	2462 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	2.351	32.682
2467	2467 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	2.1333	32.75
2468	2468 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	2.418	32.785
2471	2471 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	1.983	32.532
2473	2473 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	1.983	32.532
2477	2477 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	2.131	32.333
2480	2480 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	0.268	32.832
2491	2491 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	2.434	32.617
2501	2501 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	0.351	32.582
2503	2503 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	2.518	32.366
2507	2507 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	1.882	32.781
2515	2515 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	1.749	32.617
2521	2521 collection		house resting inside								1992-05-00/1992-05-00	Uganda	GAZ	00001102	1.8167	32.299
2526	2526 collection		man biting indoors		man biting outdoors		house resting inside				1989-06-00/1989-10-00	Mozambique	GAZ	00001100	-25.967	32.465
2527	2527 collection		man biting indoors		man biting outdoors		house resting inside				1990-06-00/1990-10-00	Mozambique	GAZ	00001100	-25.967	32.465
2528	2528 collection		man biting indoors		man biting outdoors		house resting inside				1990-06-00/1990-10-00	Mozambique	GAZ	00001100	-25.967	32.465
2529	2529 collection		man biting indoors		man biting outdoors		house resting inside				1991-06-00/1991-10-00	Mozambique	GAZ	00001100	-25.967	32.465
2530	2530 collection		man biting indoors		man biting outdoors		house resting inside				1991-06-00/1991-10-00	Mozambique	GAZ	00001100	-25.967	32.465
2536	2536 collection		man biting		house resting inside						1996-03-00/1996-03-00	Senegal	GAZ	00000913	14.704	-17.429
2537	2537 collection		man biting		house resting inside						1996-04-00/1996-04-00	Senegal	GAZ	00000913	14.704	-17.429
2538	2538 collection		man biting		house resting inside						1996-05-00/1996-05-00	Senegal	GAZ	00000913	14.704	-17.429
2539	2539 collection		man biting		house resting inside						1996-06-00/1996-06-00	Senegal	GAZ	00000913	14.704	-17.429
2540	2540 collection		man biting		house resting inside						1996-07-00/1996-07-00	Senegal	GAZ	00000913	14.704	-17.429
2541	2541 collection		man biting		house resting inside						1996-08-00/1996-08-00	Senegal	GAZ	00000913	14.704	-17.429
2542	2542 collection		man biting		house resting inside						1996-09-00/1996-09-00	Senegal	GAZ	00000913	14.704	-17.429
2543	2543 collection		man biting		house resting inside						1996-10-00/1996-10-00	Senegal	GAZ	00000913	14.704	-17.429
2544	2544 collection		man biting		house resting inside						1996-11-00/1996-11-00	Senegal	GAZ	00000913	14.704	-17.429
2545	2545 collection		man biting		house resting inside						1996-12-00/1996-12-00	Senegal	GAZ	00000913	14.704	-17.429
2546	2546 collection		man biting		house resting inside						1997-01-00/1997-01-00	Senegal	GAZ	00000913	14.704	-17.429
2547	2547 collection		man biting		house resting inside						1997-02-00/1997-02-00	Senegal	GAZ	00000913	14.704	-17.429
2548	2548 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.696	-17.468
2549	2549 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.712	-17.466
2550	2550 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.707	-17.449
2551	2551 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.699	-17.454
2552	2552 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.706	-17.441
2553	2553 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.704	-17.429
2554	2554 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.721	-17.467
2555	2555 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.716	-17.449
2556	2556 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.715	-17.442
2557	2557 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.712	-17.434
2558	2558 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.7167	-17.4307
2559	2559 collection		man biting		house resting inside						1996-03-00/1997-02-00	Senegal	GAZ	00000913	14.7265	-17.4253
2560	2560 collection		house resting inside								1993-06-00/1994-03-00	Mali	GAZ	00000584	12.2	-8.268
2569	2569 collection		house resting inside								1998-07-00/2000-09-00	Mali	GAZ	00000584	14.467	-3.051
2573	2573 collection		house resting inside		man biting indoors						1989-06-00/1989-10-00	Mali	GAZ	00000584	12.801	-8.1
2574	2574 collection		house resting inside		man biting indoors						1989-09-00/1989-10-00	Mali	GAZ	00000584	12.801	-8.1
2580	2580 collection		house resting inside		man biting indoors						1989-06-00/1989-10-00	Mali	GAZ	00000584	12.801	-8.1
2581	2581 collection		house resting inside		man biting indoors						1989-06-00/1989-10-00	Mali	GAZ	00000584	12.801	-8.072
2587	2587 collection		house resting inside		man biting indoors						1989-06-00/1989-10-00	Mali	GAZ	00000584	12.801	-8.072
2589	2589 collection		house resting inside		man biting						1986-11-00/1986-11-00	Sudan	GAZ	00000560	14.549	33.351
2590	2590 collection		house resting inside		man biting						1986-12-00/1986-12-00	Sudan	GAZ	00000560	14.549	33.351
2591	2591 collection		house resting inside		man biting						1987-01-00/1987-01-00	Sudan	GAZ	00000560	14.549	33.351
2592	2592 collection		house resting inside		man biting						1987-02-00/1987-02-00	Sudan	GAZ	00000560	14.549	33.351
2593	2593 collection		house resting inside		man biting						1987-03-00/1987-03-00	Sudan	GAZ	00000560	14.549	33.351
2594	2594 collection		house resting inside		man biting						1987-04-00/1987-04-00	Sudan	GAZ	00000560	14.549	33.351
2595	2595 collection		house resting inside		man biting						1987-05-00/1987-05-00	Sudan	GAZ	00000560	14.549	33.351
2596	2596 collection		house resting inside		man biting						1987-06-00/1987-06-00	Sudan	GAZ	00000560	14.549	33.351
2597	2597 collection		house resting inside		man biting						1987-07-00/1987-07-00	Sudan	GAZ	00000560	14.549	33.351
2598	2598 collection		house resting inside		man biting						1987-08-00/1987-08-00	Sudan	GAZ	00000560	14.549	33.351
2599	2599 collection		house resting inside		man biting						1987-09-00/1987-09-00	Sudan	GAZ	00000560	14.549	33.351
2600	2600 collection		house resting inside		man biting						1987-10-00/1987-10-00	Sudan	GAZ	00000560	14.549	33.351
2601	2601 collection		house resting inside		man biting						1986-11-00/1986-11-00	Sudan	GAZ	00000560	14.46	33.344
2602	2602 collection		house resting inside		man biting						1986-12-00/1986-12-00	Sudan	GAZ	00000560	14.46	33.344
2603	2603 collection		house resting inside		man biting						1987-01-00/1987-01-00	Sudan	GAZ	00000560	14.46	33.344
2604	2604 collection		house resting inside		man biting						1987-02-00/1987-02-00	Sudan	GAZ	00000560	14.46	33.344
2605	2605 collection		house resting inside		man biting						1987-03-00/1987-03-00	Sudan	GAZ	00000560	14.46	33.344
2606	2606 collection		house resting inside		man biting						1987-04-00/1987-04-00	Sudan	GAZ	00000560	14.46	33.344
2607	2607 collection		house resting inside		man biting						1987-05-00/1987-05-00	Sudan	GAZ	00000560	14.46	33.344
2608	2608 collection		house resting inside		man biting						1987-06-00/1987-06-00	Sudan	GAZ	00000560	14.46	33.344
2609	2609 collection		house resting inside		man biting						1987-07-00/1987-07-00	Sudan	GAZ	00000560	14.46	33.344
2610	2610 collection		house resting inside		man biting						1987-08-00/1987-08-00	Sudan	GAZ	00000560	14.46	33.344
2611	2611 collection		house resting inside		man biting						1987-09-00/1987-09-00	Sudan	GAZ	00000560	14.46	33.344
2612	2612 collection		house resting inside		man biting						1987-10-00/1987-10-00	Sudan	GAZ	00000560	14.46	33.344
2613	2613 collection		house resting inside		man biting						1986-11-00/1986-11-00	Sudan	GAZ	00000560	14.451	33.505
2614	2614 collection		house resting inside		man biting						1986-12-00/1986-12-00	Sudan	GAZ	00000560	14.451	33.505
2615	2615 collection		house resting inside		man biting						1987-01-00/1987-01-00	Sudan	GAZ	00000560	14.451	33.505
2616	2616 collection		house resting inside		man biting						1987-02-00/1987-02-00	Sudan	GAZ	00000560	14.451	33.505
2617	2617 collection		house resting inside		man biting						1987-03-00/1987-03-00	Sudan	GAZ	00000560	14.451	33.505
2618	2618 collection		house resting inside		man biting						1987-04-00/1987-04-00	Sudan	GAZ	00000560	14.451	33.505
2619	2619 collection		house resting inside		man biting						1987-05-00/1987-05-00	Sudan	GAZ	00000560	14.451	33.505
2620	2620 collection		house resting inside		man biting						1987-06-00/1987-06-00	Sudan	GAZ	00000560	14.451	33.505
2621	2621 collection		house resting inside		man biting						1987-07-00/1987-07-00	Sudan	GAZ	00000560	14.451	33.505
2622	2622 collection		house resting inside		man biting						1987-08-00/1987-08-00	Sudan	GAZ	00000560	14.451	33.505
2623	2623 collection		house resting inside		man biting						1987-09-00/1987-09-00	Sudan	GAZ	00000560	14.451	33.505
2624	2624 collection		house resting inside		man biting						1987-10-00/1987-10-00	Sudan	GAZ	00000560	14.451	33.505
2625	2625 collection		house resting inside		man biting						1986-11-00/1986-11-00	Sudan	GAZ	00000560	14.3	33.4
2626	2626 collection		house resting inside		man biting						1986-12-00/1986-12-00	Sudan	GAZ	00000560	14.3	33.4
2627	2627 collection		house resting inside		man biting						1987-01-00/1987-01-00	Sudan	GAZ	00000560	14.3	33.4
2628	2628 collection		house resting inside		man biting						1987-02-00/1987-02-00	Sudan	GAZ	00000560	14.3	33.4
2629	2629 collection		house resting inside		man biting						1987-03-00/1987-03-00	Sudan	GAZ	00000560	14.3	33.4
2630	2630 collection		house resting inside		man biting						1987-04-00/1987-04-00	Sudan	GAZ	00000560	14.3	33.4
