Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Characteristics [species assay result (VBcv:0000961)]	Term Source REF	Term Accession Number	Comment [ASSI]
MAP.94	MAP.94.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.95	MAP.95.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.96	MAP.96.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.97	MAP.97.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.98	MAP.98.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.99	MAP.99.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.100	MAP.100.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.101	MAP.101.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.102	MAP.102.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.103	MAP.103.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.104	MAP.104.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.105	MAP.105.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.106	MAP.106.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.107	MAP.107.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.108	MAP.108.spid		morphology		Anopheles minimus species complex	MIRO	40003537	"ASSI: An. minimus group has 3 genetically related species A, C & D, all sympatric to the area. Preliminary sampling prior to this study indicates that Sp. C is the most common species."
MAP.109	MAP.109.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.110	MAP.110.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.111	MAP.111.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.112	MAP.112.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.113	MAP.113.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.114	MAP.114.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.115	MAP.115.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.116	MAP.116.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.117	MAP.117.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.118	MAP.118.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.119	MAP.119.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.120	MAP.120.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.121	MAP.121.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.122	MAP.122.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.123	MAP.123.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.124	MAP.124.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.125	MAP.125.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.126	MAP.126.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.127	MAP.127.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.128	MAP.128.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.129	MAP.129.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.130	MAP.130.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.131	MAP.131.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.132	MAP.132.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.134	MAP.134.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.135	MAP.135.spid				Anopheles barbirostris species complex	MIRO	40000041	
MAP.136	MAP.136.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.137	MAP.137.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.138	MAP.138.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.139	MAP.139.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.140	MAP.140.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.141	MAP.141.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.142	MAP.142.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.143	MAP.143.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.144	MAP.144.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.145	MAP.145.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.146	MAP.146.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.147	MAP.147.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.148	MAP.148.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.149	MAP.149.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.150	MAP.150.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.151	MAP.151.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.152	MAP.152.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.153	MAP.153.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.154	MAP.154.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.155	MAP.155.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.156	MAP.156.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.157	MAP.157.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.158	MAP.158.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.159	MAP.159.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.160	MAP.160.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.161	MAP.161.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.162	MAP.162.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.163	MAP.163.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.164	MAP.164.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.165	MAP.165.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.166	MAP.166.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.167	MAP.167.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.168	MAP.168.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.169	MAP.169.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.170	MAP.170.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.171	MAP.171.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.172	MAP.172.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.173	MAP.173.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.174	MAP.174.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.175	MAP.175.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.176	MAP.176.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.177	MAP.177.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.178	MAP.178.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.179	MAP.179.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.180	MAP.180.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.181	MAP.181.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.182	MAP.182.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.183	MAP.183.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.184	MAP.184.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.185	MAP.185.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.186	MAP.186.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.187	MAP.187.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.188	MAP.188.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.189	MAP.189.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.190	MAP.190.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.191	MAP.191.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.192	MAP.192.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.193	MAP.193.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.194	MAP.194.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.195	MAP.195.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.196	MAP.196.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.197	MAP.197.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.198	MAP.198.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.199	MAP.199.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.200	MAP.200.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.202	MAP.202.spid		morphology		Anopheles barbirostris species complex	MIRO	40000041	
MAP.203	MAP.203.spid		morphology		Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.204	MAP.204.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.205	MAP.205.spid		morphology		Anopheles sinensis species complex	MIRO	40003452	
MAP.207	MAP.207.spid		morphology		Anopheles annularis van der Wulp, 1884	MIRO	40002220	
MAP.208	MAP.208.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.209	MAP.209.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.210	MAP.210.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.211	MAP.211.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.212	MAP.212.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.213	MAP.213.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.214	MAP.214.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	PCR on a subsample showed: An.dirus s.s and An.dirus species D
MAP.215	MAP.215.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.216	MAP.216.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.217	MAP.217.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.219	MAP.219.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.220	MAP.220.spid				Anopheles barbirostris species complex	MIRO	40000041	
MAP.221	MAP.221.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.222	MAP.222.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.223	MAP.223.spid				Anopheles annularis van der Wulp, 1884	MIRO	40002220	
MAP.225	MAP.225.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.226	MAP.226.spid				Anopheles barbirostris species complex	MIRO	40000041	
MAP.227	MAP.227.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.228	MAP.228.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.229	MAP.229.spid				Anopheles annularis van der Wulp, 1884	MIRO	40002220	
MAP.231	MAP.231.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.232	MAP.232.spid				Anopheles barbirostris species complex	MIRO	40000041	
MAP.233	MAP.233.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.234	MAP.234.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.235	MAP.235.spid				Anopheles annularis van der Wulp, 1884	MIRO	40002220	
MAP.236	MAP.236.spid		morphology		Anopheles sinensis species complex	MIRO	40003452	
MAP.237	MAP.237.spid		morphology		Anopheles sinensis species complex	MIRO	40003452	
MAP.238	MAP.238.spid		morphology		Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.239	MAP.239.spid		morphology		Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.240	MAP.240.spid		morphology		Anopheles minimus species complex	MIRO	40003537	An. minimus A
MAP.241	MAP.241.spid		morphology		Anopheles minimus species complex	MIRO	40003537	An. minimus A
MAP.242	MAP.242.spid		morphology		Anopheles annularis van der Wulp, 1884	MIRO	40002220	
MAP.243	MAP.243.spid		morphology		Anopheles annularis van der Wulp, 1884	MIRO	40002220	
MAP.244	MAP.244.spid		morphology		Anopheles barbirostris species complex	MIRO	40000041	Authors could not distinguish whether this was An. barbirostris or An. campestris.
MAP.245	MAP.245.spid		morphology		Anopheles barbirostris species complex	MIRO	40000041	Authors could not distinguish whether this was An. barbirostris or An. campestris.
MAP.264	MAP.264.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.265	MAP.265.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.266	MAP.266.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.267	MAP.267.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.268	MAP.268.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.269	MAP.269.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.270	MAP.270.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.271	MAP.271.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.272	MAP.272.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.273	MAP.273.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.274	MAP.274.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.275	MAP.275.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.276	MAP.276.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.277	MAP.277.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.278	MAP.278.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.279	MAP.279.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.280	MAP.280.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.281	MAP.281.spid				Anopheles sinensis species complex	MIRO	40003452	
MAP.283	MAP.283.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.284	MAP.284.spid				Anopheles barbirostris species complex	MIRO	40000041	
MAP.285	MAP.285.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.286	MAP.286.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.287	MAP.287.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.288	MAP.288.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.289	MAP.289.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.290	MAP.290.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.291	MAP.291.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.292	MAP.292.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.293	MAP.293.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.294	MAP.294.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.295	MAP.295.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.296	MAP.296.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.297	MAP.297.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.316	MAP.316.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	Species A
MAP.317	MAP.317.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	Species D
MAP.318	MAP.318.spid		morphology	DNA probe	Anopheles minimus species complex	MIRO	40003537	Species A
MAP.319	MAP.319.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.320	MAP.320.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	Species A
MAP.321	MAP.321.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	Species D
MAP.322	MAP.322.spid		morphology	DNA probe	Anopheles minimus species complex	MIRO	40003537	Species A
MAP.323	MAP.323.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.324	MAP.324.spid		morphology	DNA probe	Anopheles dirus species complex	MIRO	40002263	Species A
MAP.325	MAP.325.spid		morphology		Anopheles barbirostris species complex	MIRO	40000041	
MAP.326	MAP.326.spid		morphology		Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.327	MAP.327.spid		morphology	DNA probe	Anopheles minimus species complex	MIRO	40003537	Species A
MAP.328	MAP.328.spid		morphology		Anopheles maculatus Group	MIRO	40003525	
MAP.329	MAP.329.spid		morphology		Anopheles annularis van der Wulp, 1884	MIRO	40002220	
MAP.334	MAP.334.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.335	MAP.335.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.336	MAP.336.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.337	MAP.337.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.338	MAP.338.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.339	MAP.339.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.340	MAP.340.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.341	MAP.341.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.342	MAP.342.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.343	MAP.343.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.344	MAP.344.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.345	MAP.345.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.346	MAP.346.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.347	MAP.347.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.348	MAP.348.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.349	MAP.349.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.350	MAP.350.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.351	MAP.351.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.352	MAP.352.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.353	MAP.353.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.354	MAP.354.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.355	MAP.355.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.356	MAP.356.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.357	MAP.357.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.358	MAP.358.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.359	MAP.359.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.360	MAP.360.spid				Anopheles dirus species complex	MIRO	40002263	
MAP.361	MAP.361.spid				Anopheles barbirostris species complex	MIRO	40000041	
MAP.363	MAP.363.spid				Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.364	MAP.364.spid				Anopheles minimus species complex	MIRO	40003537	
MAP.365	MAP.365.spid				Anopheles maculatus Group	MIRO	40003525	
MAP.366	MAP.366.spid				Anopheles sinensis species complex	MIRO	40003452	
MAP.368	MAP.368.spid				Anopheles annularis van der Wulp, 1884	MIRO	40002220	
MAP.516	MAP.516.spid		morphology		Anopheles dirus species complex	MIRO	40002263	
MAP.517	MAP.517.spid		morphology		Anopheles barbirostris species complex	MIRO	40000041	
MAP.518	MAP.518.spid		morphology		Anopheles aconitus Dönitz, 1902	MIRO	40002218	
MAP.519	MAP.519.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
MAP.520	MAP.520.spid		morphology		Anopheles minimus species complex	MIRO	40003537	
