				Country			IR_Test_Method		Mosquito_collection_Year_start								Locality	Latitude	Longitude		Vector_species				IR_Test_NumExposed						IR_Test_mortality		IR_Mechanism_Status	Kdr_frequency					Chemical_class		Resistance_status	R_code		
REF#	ORIG REF#	ORIG SOURCE	ORIG SOURCE REF	Country	Country code	Investigation type	Test                                           type	Insecticide tested	Year	Start month	End month	Province             1st admin level	District 2nd admin level	District Update	Commune 3rd admin level	Village or Locality (site) ORIG	Village or Locality UPDATED (Co-ordinates)	Latitude UTM_X UPDATE2	Longitude UTM_Y UPDATE2	GEOREF STATUS	Species tested	Stage tested (and origin)	Species used in controls	Number of replicates tested	Total mosquitoes in all test replicates	Number of replicates for control	Total mosquitoes in all controls	Time at which mortality recorded	Recorded average mortality in treatments (%)	Recorded average mortality in controls (%)	Calculated  average mortality adjusted for control  (%)	Resistance status Susceptible:(>=98%) Moderate:(90-98%) High:(<90%)	Mechanism status	Allelic frequency                   (%)	Institute that collected data	Data published in a journal?	Journal reference	Remarks (eg. deviations from standard procedures)	Chemical class, if standard dosage	UPDATED STATUS	Resistance status_IRMapper	Resistance code_IR Mapper	Count	Comments
13665	G8477		PMI2589																																									
13664	G8476		PMI1516																																									
13667	G8475		PMI2582																																									
13666	G8474		PMI2583																																									
5872	G8473		PMI2580																																									
5873	G8472		PMI1517																																									
5870	G8471		PMI2586																																									
5871	G8470		PMI2587																																									
16015	G8657		PMI2584																																									
16017	G8656		PMI2585																																									
11292	G8655		PMI69																																									
11293	G8654		PMI2748																																									
11290	G8653		PMI68																																									
11291	G8652		PMI2744																																									
11297	G9708		PMI2745																																									
11295	G8650		PMI2740																																									
13522	G9706		PMI2741																																									
13523	G9707		PMI2742																																									
13520	G9704		PMI2743																																									
13521	G9705		PMI2272																																									
13526	G9702		PMI1138																																									
13527	G9703		PMI1139																																									
13524	G9700		PMI1136																																									
13525	G9701		PMI1137																																									
13528	G8495		PMI1134																																									
13529	G8494		PMI1135																																									
11741	G8497		PMI1132																																									
11742	G8496		PMI1133																																									
11743	G8491		PMI1130																																									
11744	G8490		PMI1131																																									
11745	G8492		PMI1860																																									
11746	G8499		PMI1861																																									
12031	G8498		PMI1862																																									
12030	G9382		PMI1863																																									
11583	G9383		PMI1864																																									
11580	G9380		PMI1865																																									
9508	G9381		PMI1866																																									
9509	G9386		PMI1867																																									
9502	G9387		PMI1868																																									
9503	G9384		PMI1869																																									
9500	G9385		PMI2769																																									
9501	G9838		PMI2360																																									
9506	G9839		PMI2361																																									
9507	G9388		PMI2366																																									
9504	G9389		PMI2367																																									
9505	G9012		PMI2364																																									
12105	G9013		PMI2365																																									
12104	G9010		PMI2369																																									
12103	G9011		PMI2564																																									
12102	G9016		PMI2094																																									
12101	G9017		PMI2566																																									
11525	G9014		PMI2567																																									
6359	G9015		PMI2560																																									
11632	G9018		PMI2561																																									
11633	G9019		PMI2562																																									
15932	G10900		PMI2095																																									
11523	G10913		PMI2568																																									
9559	G8723		PMI2096																																									
1810	G8722		PMI2097																																									
9558	G9638		PMI2090																																									
15934	G8720		PMI2091																																									
12084	G8727		PMI2092																																									
8141	G8726		PMI2093																																									
12211	G8725		PMI1527																																									
12085	G8724		PMI1919																																									
12215	G9632		PMI1914																																									
8140	G9633		PMI1915																																									
12082	G8729		PMI1916																																									
12219	G8728		PMI1917																																									
15695	G9636		PMI1910																																									
8143	G9637		PMI1911																																									
12083	G9634		PMI1912																																									
14642	G9635		PMI1913																																									
14643	G10918		PMI1526																																									
15848	G10919		PMI1521																																									
14646	G11293		PMI2172																																									
12080	G9526		PMI2171																																									
15843	G9527		PMI2170																																									
11611	G9524		PMI2177																																									
15846	G9525		PMI2176																																									
12120	G9522		PMI2175																																									
1152	G9523		PMI2174																																									
14496	G9520		PMI2179																																									
11964	G9521		PMI2178																																									
11965	G9528		PMI512																																									
8859	G9529		PMI513																																									
8858	G10540		PMI510																																									
9557	G10547		PMI511																																									
11962	G10546		PMI516																																									
11963	G10545		PMI517																																									
9556	G10909		PMI514																																									
8857	G11247		PMI515																																									
8856	G11246		PMI1600																																									
8855	G11245		PMI1601																																									
8854	G11244		PMI518																																									
15601	G11243		PMI519																																									
15600	G11242		PMI1604																																									
15603	G11241		PMI1605																																									
15602	G11240		PMI1520																																									
15605	G10645		PMI1607																																									
15604	G10544		PMI229																																									
15607	G11249		PMI738																																									
15606	G11248		PMI739																																									
15609	G9825		PMI732																																									
15608	G8451		PMI733																																									
10215	G11021		PMI730																																									
10214	G11027		PMI731																																									
5474	G11026		PMI736																																									
10216	G8450		PMI737																																									
5472	G11029		PMI734																																									
5473	G11028		PMI735																																									
10213	G8864		PMI1734																																									
5471	G8865		PMI1735																																									
13716	G8866		PMI1736																																									
10219	G8867		PMI1737																																									
10218	G8860		PMI1730																																									
5479	G8861		PMI1731																																									
1774	G8862		PMI1732																																									
1776	G8863		PMI1733																																									
1772	G8868		PMI2007																																									
1778	G8869		PMI1522																																									
8149	G10753		PMI1738																																									
8148	G10750		PMI1739																																									
15930	G10754		PMI2001																																									
15936	G10755		PMI2000																																									
8639	G10759		PMI358																																									
8638	G10194		PMI359																																									
8637	G10195		PMI428																																									
8636	G10196		PMI429																																									
8635	G10197		PMI426																																									
8142	G10190		PMI427																																									
8145	G10191		PMI424																																									
8144	G10192		PMI425																																									
8147	G10193		PMI422																																									
8146	G11117		PMI423																																									
11109	G11116		PMI420																																									
14462	G11115		PMI421																																									
11103	G11114		PMI646																																									
14460	G10198		PMI647																																									
11101	G10199		PMI644																																									
14466	G11111		PMI645																																									
11107	G11110		PMI642																																									
14464	G9319		PMI643																																									
11105	G10578		PMI640																																									
8701	G10579		PMI641																																									
8700	G9318		PMI648																																									
8707	G10572		PMI649																																									
8706	G10573		PMI2173																																									
8705	G10570		PMI1459																																									
15596	G10571		PMI1458																																									
15599	G10576		PMI1451																																									
15598	G10577		PMI1450																																									
8709	G10574		PMI1453																																									
8708	G10575		PMI1452																																									
6416	G10610		PMI1455																																									
15691	G10370		PMI1454																																									
11009	G9311		PMI1457																																									
15696	G10372		PMI1456																																									
15697	G10373		PMI2821																																									
8529	G10374		PMI2820																																									
8528	G10375		PMI2823																																									
15694	G10376		PMI2822																																									
8523	G9310		PMI2825																																									
8522	G10378		PMI2824																																									
8521	G10379		PMI2827																																									
8520	G10406		PMI2826																																									
8527	G10407		PMI2829																																									
8526	G10404		PMI2828																																									
8525	G10405		PMI2050																																									
8524	G10402		PMI2051																																									
11036	G10403		PMI2052																																									
11037	G10400		PMI2955																																									
11034	G10401		PMI1204																																									
11035	G10408		PMI2957																																									
11032	G10409		PMI2053																																									
11033	G11171		PMI2951																																									
11030	G8399		PMI2950																																									
11031	G11170		PMI2953																																									
6510	G8393		PMI1205																																									
6511	G8390		PMI2054																																									
6512	G8391		PMI2959																																									
15593	G8397		PMI1206																																									
11038	G8394		PMI1207																																									
11039	G8395		PMI2056																																									
15592	G9089		PMI2251																																									
15595	G11172		PMI1200																																									
15594	G9088		PMI2057																																									
15597	G11175		PMI1201																																									
15989	G11174		PMI1202																																									
8457	G8468		PMI1510																																									
8456	G8469		PMI1203																																									
8455	G11177		PMI2954																																									
8454	G8460		PMI2956																																									
8453	G8461		PMI1511																																									
8452	G8462		PMI1987																																									
8451	G8463		PMI1986																																									
8450	G8464		PMI2952																																									
8459	G8465		PMI1985																																									
8458	G8466		PMI2778																																									
6424	G8467		PMI1984																																									
6425	G8640		PMI2771																																									
6426	G8641		PMI1983																																									
6427	G8642		PMI2773																																									
6421	G8643		PMI2775																																									
6422	G8644		PMI1982																																									
6423	G8645		PMI1981																																									
11353	G8646		PMI1980																																									
11352	G8647		PMI2958																																									
11350	G8648		PMI1513																																									
11357	G8649		PMI2111																																									
11354	G9731		PMI1149																																									
16137	G9730		PMI1148																																									
16135	G9737		PMI2110																																									
16133	G9736		PMI1143																																									
16131	G9735		PMI1142																																									
6169	G9734		PMI1141																																									
6168	G8486		PMI1140																																									
6161	G8487		PMI1147																																									
6160	G8484		PMI1146																																									
6163	G8485		PMI1145																																									
6162	G8482		PMI1144																																									
6165	G8483		PMI2483																																									
6164	G8480		PMI2482																																									
6167	G8481		PMI2481																																									
6166	G10914		PMI2112																																									
13678	G8488		PMI2487																																									
10999	G10049		PMI2486																																									
13672	G9087		PMI2485																																									
10997	G9029		PMI2484																																									
13670	G9028		PMI2115																																									
10871	G9027		PMI2489																																									
10993	G9026		PMI2488																																									
13674	G9025		PMI1514																																									
10991	G9024		PMI2114																																									
16003	G9023		PMI2117																																									
16001	G9022		PMI2116																																									
5869	G9021		PMI1515																																									
16007	G9020		PMI1859																																									
16005	G9355		PMI1858																																									
16009	G9354		PMI1855																																									
5723	G9357		PMI1854																																									
13671	G9356		PMI1857																																									
13560	G9603		PMI1856																																									
13627	G9602		PMI1851																																									
12026	G9353		PMI1850																																									
12027	G9352		PMI1853																																									
13519	G10996		PMI1852																																									
13518	G10997		PMI2538																																									
13517	G9359		PMI2399																																									
13516	G9358		PMI2398																																									
13515	G9609		PMI2397																																									
13514	G9608		PMI3000																																									
12028	G8738		PMI2395																																									
12029	G8739		PMI2394																																									
15460	G8734		PMI2393																																									
6451	G8735		PMI2392																																									
6450	G8736		PMI2391																																									
8680	G8737		PMI2390																																									
6452	G8730		PMI2551																																									
8686	G8731		PMI2550																																									
8139	G8732		PMI2553																																									
6457	G8733		PMI2552																																									
13629	G9289		PMI2555																																									
8685	G9288		PMI2554																																									
13628	G9283		PMI2557																																									
6459	G9282		PMI2556																																									
6458	G9281		PMI2559																																									
5764	G9280		PMI2558																																									
12111	G9287		PMI2532																																									
12112	G9286		PMI1786																																									
5765	G9285		PMI2530																																									
12114	G9284		PMI1518																																									
12115	G10554		PMI2211																																									
12116	G9513		PMI3009																																									
12117	G9512		PMI1929																																									
12118	G9511		PMI1928																																									
12119	G9510		PMI1921																																									
13464	G9517		PMI978																																									
11649	G9516		PMI1923																																									
6186	G9515		PMI1922																																									
6185	G9514		PMI1925																																									
6184	G9519		PMI1924																																									
6183	G9518		PMI1927																																									
6182	G8603		PMI979																																									
6181	G9953		PMI1519																																									
6180	G9952		PMI756																																									
15465	G9818		PMI757																																									
5727	G9819		PMI974																																									
13675	G9822		PMI975																																									
15860	G9957		PMI976																																									
14515	G9956		PMI977																																									
15464	G9779		PMI202																																									
14512	G9778		PMI971																																									
1806	G9959		PMI946																																									
8998	G10976		PMI1634																																									
1804	G10977		PMI1637																																									
1802	G10974		PMI1636																																									
8992	G9958		PMI1631																																									
8993	G10972		PMI972																																									
8990	G10973		PMI1633																																									
8991	G10971		PMI1632																																									
8996	G9773		PMI2168																																									
8997	G9772		PMI2169																																									
8994	G9225		PMI973																																									
8995	G9224		PMI1639																																									
9515	G9555		PMI1638																																									
9514	G9226		PMI501																																									
9517	G9221		PMI500																																									
9516	G9552		PMI503																																									
9511	G11231		PMI502																																									
9510	G9551		PMI505																																									
9513	G11238		PMI504																																									
9512	G9222		PMI507																																									
12206	G9796		PMI506																																									
12207	G11348		PMI509																																									
9519	G11349		PMI508																																									
9518	G11346		PMI729																																									
12203	G9658		PMI728																																									
11829	G11344		PMI721																																									
11828	G11345		PMI720																																									
14679	G11342		PMI723																																									
14678	G11343		PMI722																																									
11825	G11340		PMI725																																									
11824	G9659		PMI724																																									
11827	G8811		PMI727																																									
11826	G8810		PMI726																																									
14673	G8813		PMI1940																																									
14672	G8812		PMI1701																																									
14671	G8815		PMI1700																																									
14670	G8814		PMI1703																																									
14518	G8817		PMI1702																																									
8866	G8816		PMI1705																																									
8867	G8819		PMI1704																																									
8864	G8818		PMI1707																																									
8865	G10741		PMI1706																																									
8862	G10742		PMI1709																																									
8863	G10745		PMI1708																																									
8860	G10744		PMI2127																																									
8861	G10747		PMI2010																																									
15686	G10746		PMI2011																																									
8868	G10749		PMI1407																																									
8869	G9650		PMI349																																									
15612	G9651		PMI348																																									
15613	G10183		PMI439																																									
15610	G10182		PMI438																																									
15611	G10181		PMI343																																									
15616	G10180		PMI342																																									
15617	G10187		PMI341																																									
15614	G10186		PMI340																																									
15615	G10185		PMI347																																									
15618	G10184		PMI346																																									
15619	G11162		PMI345																																									
10207	G11163		PMI344																																									
5465	G10189		PMI655																																									
5467	G10188		PMI654																																									
5469	G11166		PMI657																																									
10208	G11167		PMI656																																									
10209	G11164		PMI651																																									
15408	G11165		PMI650																																									
15854	G10569		PMI653																																									
15850	G10568		PMI652																																									
15511	G10561		PMI659																																									
8608	G10560		PMI658																																									
1120	G10563		PMI1446																																									
1121	G10562		PMI1447																																									
1122	G10565		PMI1444																																									
1123	G10564		PMI1445																																									
15920	G10567		PMI1442																																									
11137	G10566		PMI1443																																									
11136	G8929		PMI1440																																									
11135	G8928		PMI1441																																									
11134	G8925		PMI1448																																									
11133	G8924		PMI1449																																									
11132	G8927		PMI237																																									
11131	G8926		PMI236																																									
11130	G8921		PMI235																																									
11139	G8920		PMI234																																									
11138	G8923		PMI233																																									
14695	G8922		PMI231																																									
11861	G10369		PMI239																																									
14697	G10368		PMI238																																									
14696	G10367		PMI2838																																									
14691	G10366		PMI2839																																									
14690	G10365		PMI2836																																									
14693	G10364		PMI2837																																									
14692	G10363		PMI2834																																									
14699	G10362		PMI2835																																									
11863	G10361		PMI2832																																									
1018	G10360		PMI2833																																									
1014	G10415		PMI2830																																									
1015	G10414		PMI2831																																									
1016	G10417		PMI2942																																									
1017	G10416		PMI2943																																									
1010	G10411		PMI2941																																									
1011	G10410		PMI2946																																									
1013	G10413		PMI2944																																									
8516	G10412		PMI2945																																									
1235	G11143		PMI2948																																									
1236	G10419		PMI2949																																									
1237	G10418		PMI2186																																									
8512	G10607		PMI2187																																									
8513	G11259		PMI2184																																									
8510	G9038		PMI2185																																									
8511	G9039		PMI2182																																									
1238	G9030		PMI2183																																									
8518	G9031		PMI2180																																									
8519	G9032		PMI2181																																									
5670	G9033		PMI2766																																									
5671	G9034		PMI2767																																									
5672	G9035		PMI2764																																									
8285	G9036		PMI2765																																									
8282	G9037		PMI2762																																									
8283	G9610		PMI2763																																									
8280	G9347		PMI8																																									
8281	G9344		PMI9																																									
8288	G9345		PMI6																																									
8289	G9342		PMI7																																									
11003	G9343		PMI4																																									
11212	G9340		PMI5																																									
6509	G9341		PMI2																																									
6508	G9618		PMI3																																									
11007	G9619		PMI1																																									
14526	G10981		PMI1158																																									
11005	G10980		PMI1159																																									
11213	G10987		PMI1150																																									
6503	G10986		PMI1151																																									
6502	G9348		PMI1152																																									
6501	G9349		PMI1153																																									
6500	G8749		PMI1154																																									
6507	G8748		PMI1155																																									
6506	G8741		PMI1156																																									
6505	G8740		PMI1157																																									
6504	G8743		PMI2490																																									
14422	G8742		PMI2491																																									
8462	G8745		PMI2492																																									
8463	G8744		PMI2493																																									
8460	G8747		PMI2494																																									
8461	G8746		PMI2495																																									
8466	G9294		PMI2496																																									
8467	G9295		PMI2497																																									
8464	G9296		PMI2498																																									
8465	G9297		PMI2499																																									
8468	G9290		PMI1500																																									
8469	G9291		PMI1576																																									
11348	G9292		PMI1577																																									
6437	G9293		PMI1574																																									
6436	G9298		PMI3027																																									
6439	G9299		PMI1575																																									
6438	G9724		PMI1572																																									
16109	G9725		PMI1573																																									
9392	G9726		PMI1848																																									
16103	G9727		PMI1849																																									
16101	G9720		PMI1570																																									
16107	G9721		PMI1842																																									
16105	G9722		PMI1843																																									
13647	G9723		PMI1840																																									
13646	G10499		PMI1571																																									
13645	G9728		PMI1846																																									
11358	G9729		PMI1847																																									
13641	G10498		PMI1844																																									
13640	G11188		PMI1845																																									
13649	G10552		PMI2388																																									
13648	G11189		PMI2389																																									
15669	G10553		PMI2384																																									
16039	G9508		PMI2385																																									
16037	G9509		PMI2386																																									
16035	G9504		PMI2387																																									
16033	G9505		PMI2380																																									
16031	G9506		PMI2381																																									
16030	G9507		PMI2382																																									
14538	G9500		PMI2383																																									
12051	G9501		PMI3017																																									
12050	G9502		PMI3016																																									
12053	G9503		PMI3015																																									
12054	G10496		PMI3014																																									
15662	G11024		PMI3013																																									
13501	G11180		PMI3012																																									
13506	G10961		PMI2548																																									
13507	G8501		PMI2549																																									
15660	G8500		PMI2546																																									
15667	G8509		PMI2547																																									
14364	G8508		PMI2544																																									
15665	G11227		PMI1791																																									
13662	G11226		PMI2542																																									
15664	G11229		PMI2543																																									
1050	G11228		PMI2540																																									
998	G11359		PMI2541																																									
12212	G11358		PMI1505																																									
2081	G11355		PMI1936																																									
11652	G11354		PMI1937																																									
8985	G11357		PMI1934																																									
8984	G11356		PMI1935																																									
5078	G11351		PMI1932																																									
5079	G11350		PMI1933																																									
8981	G11353		PMI1930																																									
8980	G11352		PMI1931																																									
8983	G10088		PMI1938																																									
8982	G10089		PMI1939																																									
8989	G10082		PMI1504																																									
8988	G10083		PMI1799																																									
9560	G10080		PMI3054																																									
9561	G10081		PMI1622																																									
9562	G10086		PMI1623																																									
9563	G10087		PMI1620																																									
9564	G10084		PMI1621																																									
9565	G10085		PMI1626																																									
9566	G8802		PMI1627																																									
9567	G8803		PMI1624																																									
9568	G8800		PMI1625																																									
9569	G8801		PMI2155																																									
14668	G8806		PMI2154																																									
14669	G8807		PMI1628																																									
5382	G8804		PMI1629																																									
5383	G8805		PMI2151																																									
5384	G8808		PMI2150																																									
5385	G8809		PMI2153																																									
5386	G10778		PMI2152																																									
14666	G10779		PMI538																																									
14667	G10774		PMI539																																									
8871	G10776		PMI534																																									
8870	G10777		PMI535																																									
8873	G10770		PMI536																																									
8872	G10771		PMI537																																									
8875	G10772		PMI530																																									
8874	G10773		PMI531																																									
8877	G11179		PMI532																																									
8876	G11178		PMI533																																									
8879	G11039		PMI674																																									
8878	G10178		PMI1893																																									
15703	G10179		PMI1892																																									
11902	G10176		PMI673																																									
11903	G10177		PMI2028																																									
11900	G10174		PMI1552																																									
11906	G10175		PMI1718																																									
11907	G10172		PMI1719																																									
11904	G10173		PMI1716																																									
11905	G10170		PMI1717																																									
12262	G10171		PMI1714																																									
15629	G10796		PMI1715																																									
15628	G10797		PMI1712																																									
15627	G10795		PMI1713																																									
15626	G10792		PMI1710																																									
15625	G10793		PMI1711																																									
15624	G10790		PMI408																																									
15623	G10791		PMI409																																									
15622	G10798		PMI672																																									
15621	G10799		PMI1898																																									
15620	G11109		PMI400																																									
1174	G8938		PMI401																																									
10237	G8939		PMI402																																									
10236	G8936		PMI403																																									
10235	G8937		PMI404																																									
10234	G8934		PMI405																																									
10239	G8935		PMI406																																									
10238	G8932		PMI407																																									
8166	G8933		PMI660																																									
9387	G8930		PMI661																																									
8165	G8931		PMI662																																									
11299	G10318		PMI663																																									
9388	G10319		PMI664																																									
9389	G10312		PMI665																																									
13468	G10313		PMI666																																									
15958	G10310		PMI667																																									
15489	G10311		PMI668																																									
15488	G10316		PMI669																																									
15950	G10317		PMI887																																									
1130	G10314		PMI880																																									
15487	G10315		PMI881																																									
15486	G10420		PMI882																																									
15956	G10421		PMI883																																									
11121	G10422		PMI390																																									
11123	G10423		PMI391																																									
14444	G10424		PMI392																																									
11125	G10425		PMI393																																									
14446	G10426		PMI394																																									
11128	G10427		PMI395																																									
12260	G10428		PMI396																																									
14686	G10429		PMI397																																									
14687	G9999		PMI398																																									
12261	G9998		PMI399																																									
14682	G9997		PMI1439																																									
14683	G9996		PMI3078																																									
14680	G9995		PMI714																																									
14681	G9994		PMI715																																									
11045	G9993		PMI240																																									
14688	G9992		PMI241																																									
14689	G9991		PMI246																																									
11044	G9990		PMI711																																									
1009	G10226		PMI712																																									
1008	G10227		PMI713																																									
8721	G10224		PMI248																																									
8720	G10225		PMI249																																									
8723	G10222		PMI718																																									
8722	G10223		PMI719																																									
8724	G10220		PMI2849																																									
1227	G10221		PMI2848																																									
1226	G10558		PMI2843																																									
1225	G10559		PMI2842																																									
8502	G10228		PMI2841																																									
8505	G10229		PMI2840																																									
8504	G9196		PMI2847																																									
8507	G9195		PMI2846																																									
8506	G9194		PMI2845																																									
8509	G9193		PMI2844																																									
8508	G9192		PMI1389																																									
13677	G9191		PMI1388																																									
8291	G9190		PMI1385																																									
8290	G9199		PMI1384																																									
8293	G9198		PMI1387																																									
8292	G9086		PMI1386																																									
8295	G11052		PMI1381																																									
8294	G11053		PMI1380																																									
8297	G9373		PMI1383																																									
8296	G9372		PMI1382																																									
8299	G9371		PMI1549																																									
8298	G9370		PMI1548																																									
5669	G9377		PMI1547																																									
5668	G9376		PMI1546																																									
7499	G9375		PMI1545																																									
11018	G9374		PMI1544																																									
14539	G9379		PMI1543																																									
11014	G9378		PMI1542																																									
11015	G10556		PMI1541																																									
11016	G8758		PMI1540																																									
11010	G8759		PMI1553																																									
11011	G8752		PMI1918																																									
11012	G8753		PMI1099																																									
11013	G8750		PMI1098																																									
11049	G8751		PMI864																																									
11048	G8756		PMI865																																									
8619	G8757		PMI862																																									
11330	G8754		PMI863																																									
11332	G8755		PMI860																																									
8479	G11113		PMI861																																									
8478	G11112		PMI1091																																									
11336	G9751		PMI1090																																									
8475	G9750		PMI1093																																									
8474	G9753		PMI1092																																									
8477	G9752		PMI1095																																									
8476	G9755		PMI1094																																									
8471	G9754		PMI1097																																									
8470	G9757		PMI1096																																									
8473	G9756		PMI746																																									
8472	G9759		PMI2713																																									
6402	G9758		PMI2711																																									
6403	G11059		PMI2717																																									
6400	G9979		PMI2715																																									
6401	G9978		PMI2719																																									
6406	G10882		PMI745																																									
6407	G10883		PMI1165																																									
6404	G10881		PMI1164																																									
6405	G10886		PMI1167																																									
6408	G10887		PMI1166																																									
6409	G10884		PMI1161																																									
13650	G10885		PMI1160																																									
13589	G10888		PMI1163																																									
13652	G10889		PMI1162																																									
13653	G9579		PMI1169																																									
13654	G9578		PMI1168																																									
13655	G9571		PMI1367																																									
13656	G9570		PMI1366																																									
13657	G9573		PMI1365																																									
11483	G9572		PMI1364																																									
11249	G9575		PMI1363																																									
11247	G9574		PMI1362																																									
16029	G9577		PMI1361																																									
16021	G9576		PMI1360																																									
16023	G9405		PMI2259																																									
16025	G9404		PMI1369																																									
16027	G9407		PMI1368																																									
15966	G9406		PMI743																																									
12042	G9401		PMI2629																																									
15968	G9400		PMI2628																																									
12040	G9403		PMI2627																																									
12046	G9402		PMI2626																																									
12044	G9409		PMI2624																																									
12048	G9408		PMI2623																																									
12049	G10950		PMI2622																																									
11799	G10497		PMI2621																																									
11798	G10952		PMI2620																																									
15987	G10953		PMI742																																									
11797	G10954		PMI432																																									
11796	G10955		PMI2039																																									
11795	G10956		PMI741																																									
5937	G10957		PMI1769																																									
5936	G10959		PMI1583																																									
5935	G9975		PMI1768																																									
5934	G11218		PMI1582																																									
5933	G11219		PMI1640																																									
16111	G9974		PMI1581																																									
16113	G11214		PMI1641																																									
16119	G11215		PMI3004																																									
5938	G11216		PMI3005																																									
13400	G11217		PMI2539																																									
13402	G11210		PMI1580																																									
13406	G9977		PMI740																																									
13408	G11212		PMI2139																																									
13513	G11213		PMI3002																																									
8388	G9976		PMI3003																																									
11669	G9971		PMI2533																																									
11668	G9970		PMI1587																																									
9573	G9973		PMI2531																																									
9572	G9972		PMI2138																																									
9571	G9874		PMI2537																																									
9570	G9875		PMI2536																																									
9577	G9876		PMI2535																																									
9576	G9877		PMI1586																																									
9575	G9870		PMI2137																																									
9574	G9871		PMI1585																																									
920	G9872		PMI2136																																									
12263	G11360		PMI1584																																									
9579	G11361		PMI2135																																									
9578	G9873		PMI1943																																									
12264	G11097		PMI1942																																									
11809	G10099		PMI1941																																									
11803	G10098		PMI1760																																									
11801	G10091		PMI1947																																									
11800	G10090		PMI1946																																									
11807	G10093		PMI1945																																									
11805	G10092		PMI1944																																									
8544	G10095		PMI1648																																									
13689	G10094		PMI1949																																									
8888	G10097		PMI1948																																									
8889	G10096		PMI1649																																									
8884	G8839		PMI1765																																									
8885	G8838		PMI1764																																									
8886	G8837		PMI2447																																									
8887	G8836		PMI2446																																									
8880	G8835		PMI2445																																									
8881	G8834		PMI2444																																									
