Sample Name	Assay Name	Description	Protocol REF	Performer	Date	Characteristics [species assay result (VBcv:0000961)]	Term Source Ref	Term Accession Number
PMI75	PMI.species.PMI75		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI76	PMI.species.PMI76		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI77	PMI.species.PMI77		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI78	PMI.species.PMI78		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI79	PMI.species.PMI79		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI80	PMI.species.PMI80		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI81	PMI.species.PMI81		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI82	PMI.species.PMI82		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI83	PMI.species.PMI83		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI84	PMI.species.PMI84		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI85	PMI.species.PMI85		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI86	PMI.species.PMI86		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI87	PMI.species.PMI87		SPECIES_PCR			Anopheles gambiae	MIRO	40003829
PMI88	PMI.species.PMI88		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI89	PMI.species.PMI89		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI90	PMI.species.PMI90		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI91	PMI.species.PMI91		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI92	PMI.species.PMI92		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI93	PMI.species.PMI93		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI94	PMI.species.PMI94		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI95	PMI.species.PMI95		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI96	PMI.species.PMI96		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI97	PMI.species.PMI97		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI98	PMI.species.PMI98		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI99	PMI.species.PMI99		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI100	PMI.species.PMI100		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI101	PMI.species.PMI101		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI102	PMI.species.PMI102		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI103	PMI.species.PMI103		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI104	PMI.species.PMI104		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI105	PMI.species.PMI105		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI106	PMI.species.PMI106		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI107	PMI.species.PMI107		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI108	PMI.species.PMI108		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI110	PMI.species.PMI110		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI111	PMI.species.PMI111		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI112	PMI.species.PMI112		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI113	PMI.species.PMI113		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI114	PMI.species.PMI114		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI115	PMI.species.PMI115		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI116	PMI.species.PMI116		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI117	PMI.species.PMI117		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI118	PMI.species.PMI118		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI119	PMI.species.PMI119		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI120	PMI.species.PMI120		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI121	PMI.species.PMI121		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI122	PMI.species.PMI122		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI123	PMI.species.PMI123		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI124	PMI.species.PMI124		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI125	PMI.species.PMI125		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI126	PMI.species.PMI126		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI127	PMI.species.PMI127		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI128	PMI.species.PMI128		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI129	PMI.species.PMI129		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI130	PMI.species.PMI130		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI131	PMI.species.PMI131		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI132	PMI.species.PMI132		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI133	PMI.species.PMI133		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI135	PMI.species.PMI135		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI136	PMI.species.PMI136		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI137	PMI.species.PMI137		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI138	PMI.species.PMI138		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI139	PMI.species.PMI139		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI140	PMI.species.PMI140		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI141	PMI.species.PMI141		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI142	PMI.species.PMI142		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI143	PMI.species.PMI143		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI144	PMI.species.PMI144		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI145	PMI.species.PMI145		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI147	PMI.species.PMI147		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI148	PMI.species.PMI148		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI149	PMI.species.PMI149		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI150	PMI.species.PMI150		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI151	PMI.species.PMI151		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI152	PMI.species.PMI152		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI153	PMI.species.PMI153		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI154	PMI.species.PMI154		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI155	PMI.species.PMI155		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI156	PMI.species.PMI156		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI157	PMI.species.PMI157		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI158	PMI.species.PMI158		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI159	PMI.species.PMI159		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI160	PMI.species.PMI160		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI161	PMI.species.PMI161		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI162	PMI.species.PMI162		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI163	PMI.species.PMI163		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI164	PMI.species.PMI164		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI165	PMI.species.PMI165		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI167	PMI.species.PMI167		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI171	PMI.species.PMI171		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI172	PMI.species.PMI172		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI174	PMI.species.PMI174		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI175	PMI.species.PMI175		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI177	PMI.species.PMI177		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI178	PMI.species.PMI178		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI179	PMI.species.PMI179		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI180	PMI.species.PMI180		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI181	PMI.species.PMI181		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI182	PMI.species.PMI182		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI183	PMI.species.PMI183		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI184	PMI.species.PMI184		SPECIES_PCR			Anopheles gambiae	MIRO	40003829
PMI185	PMI.species.PMI185		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI186	PMI.species.PMI186		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI187	PMI.species.PMI187		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI188	PMI.species.PMI188		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI190	PMI.species.PMI190		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI192	PMI.species.PMI192		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI194	PMI.species.PMI194		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI195	PMI.species.PMI195		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI196	PMI.species.PMI196		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI197	PMI.species.PMI197		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI198	PMI.species.PMI198		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI199	PMI.species.PMI199		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI200	PMI.species.PMI200		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI201	PMI.species.PMI201		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI202	PMI.species.PMI202		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI203	PMI.species.PMI203		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI204	PMI.species.PMI204		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI205	PMI.species.PMI205		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI206	PMI.species.PMI206		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI207	PMI.species.PMI207		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI208	PMI.species.PMI208		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI209	PMI.species.PMI209		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI210	PMI.species.PMI210		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI211	PMI.species.PMI211		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI212	PMI.species.PMI212		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI213	PMI.species.PMI213		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI214	PMI.species.PMI214		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI215	PMI.species.PMI215		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI216	PMI.species.PMI216		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI217	PMI.species.PMI217		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI218	PMI.species.PMI218		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI219	PMI.species.PMI219		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI220	PMI.species.PMI220		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI221	PMI.species.PMI221		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
PMI222	PMI.species.PMI222		SPECIES_PCR			Anopheles gambiae sensu lato	MIRO	40003480
