Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.5872	MAP.5872.collection		man biting indoors	man biting outdoors			1996-07/1996-08	Gabon	GAZ	00001092	-0.95	10.449
MAP.5875	MAP.5872.collection		man biting indoors	man biting outdoors			1996-07/1996-08	Gabon	GAZ	00001092	-0.95	10.449
MAP.9001	MAP.9001.collection		house resting inside				1992-02/1992-03	Burkina Faso	GAZ	00000905	12.568	-1.401
MAP.32002	MAP.32002.collection		house resting inside				1986-09/1986-10	Mali	GAZ	00000584	16.265	-3.408
MAP.66266	MAP.66266.collection		carbon dioxide baited net trap	larval collection			1994-02/1994-02	South Africa	GAZ	00001094	-23.4	31.4333
MAP.66267	MAP.66266.collection		carbon dioxide baited net trap	larval collection			1994-02/1994-02	South Africa	GAZ	00001094	-23.4	31.4333
MAP.6769	MAP.6769.collection		larval collection				1985-05/1985-05	Tanzania	GAZ	00001103	-8.09	36.721
MAP.9029	MAP.9029.collection		house resting inside				1989-01/1989-04	Kenya	GAZ	00001101	-0.084	34.666
MAP.41624	MAP.41624.collection		house resting inside	man biting indoors	man biting outdoors		1999-04/1999-04	Madagascar	GAZ	00001108	-21.71	46.7
MAP.41625	MAP.41624.collection		house resting inside	man biting indoors	man biting outdoors		1999-04/1999-04	Madagascar	GAZ	00001108	-21.71	46.7
MAP.41626	MAP.41624.collection		house resting inside	man biting indoors	man biting outdoors		1999-04/1999-04	Madagascar	GAZ	00001108	-21.71	46.7
MAP.2753	MAP.2753.collection		man biting indoors	man biting outdoors			1989-03/1989-04	Madagascar	GAZ	00001108	-16.998	49.852
MAP.41141	MAP.41141.collection		house resting inside	man biting indoors	man biting outdoors		1997-10/1997-10	Mali	GAZ	00000584	14.33	-5.97
MAP.28962	MAP.28962.collection		house resting inside				1988-10/1989-01	Comores	GAZ	00002936	-12.139	44.426
MAP.28963	MAP.28962.collection		house resting inside				1988-10/1989-01	Comores	GAZ	00002936	-12.139	44.426
MAP.42255	MAP.42255.collection						1981-00/1981-00	Mali	GAZ	00000584	13.35	-6.384
MAP.3053	MAP.3053.collection		man biting				1988-09/1999-01	Ethiopia	GAZ	00000567	8.04	36.504
MAP.49793	MAP.49793.collection		man biting outdoors				1996-01/1996-01	South Africa	GAZ	00001094	-25.428	31.951
MAP.12706	MAP.12706.collection		man biting indoors	man biting outdoors	house resting inside		1987-11/1987-11	Madagascar	GAZ	00001108	-18.911	47.337
MAP.29963	MAP.29963.collection		man biting indoors	man biting outdoors			2001-11/2001-11	Uganda	GAZ	00001102	0.6173	30.6328
MAP.29974	MAP.29963.collection		man biting indoors	man biting outdoors			2001-11/2001-11	Uganda	GAZ	00001102	0.6173	30.6328
MAP.29985	MAP.29963.collection		man biting indoors	man biting outdoors			2001-11/2001-11	Uganda	GAZ	00001102	0.6173	30.6328
MAP.31958	MAP.31958.collection		house resting inside	man biting	larval collection	outside shelter artificial	1986-06/1986-06	Mali	GAZ	00000584	12.8	-8.034
MAP.2591	MAP.2591.collection		house resting inside	man biting			1987-01/1987-01	Sudan	GAZ	00000560	14.549	33.351
MAP.30278	MAP.30278.collection							Ghana	GAZ	00000908	10.8675	-1.1208
MAP.45531	MAP.30278.collection							Ghana	GAZ	00000908	10.8675	-1.1208
MAP.6408	MAP.6408.collection		indoor light trap	house resting inside	outside shelter artificial		1986-10/1986-12	Tanzania	GAZ	00001103	-5.267	38.827
MAP.62310	MAP.62310.collection		house resting inside	man biting			2001-03/2001-05	Madagascar	GAZ	00001108	-21.966	46.499
MAP.31652	MAP.31652.collection		larval collection					Cameroon	GAZ	00001093	4.078	9.672
MAP.31653	MAP.31652.collection		larval collection					Cameroon	GAZ	00001093	4.078	9.672
MAP.29799	MAP.29799.collection		man biting	house resting inside	human baited net trap	light trap	1998-10/2003-03	Cameroon	GAZ	00001093	4.3433	11.273
MAP.29800	MAP.29799.collection		man biting	house resting inside	human baited net trap	light trap	1998-10/2003-03	Cameroon	GAZ	00001093	4.3433	11.273
MAP.29801	MAP.29799.collection		man biting	house resting inside	human baited net trap	light trap	1998-10/2003-03	Cameroon	GAZ	00001093	4.3433	11.273
MAP.29802	MAP.29799.collection		man biting	house resting inside	human baited net trap	light trap	1998-10/2003-03	Cameroon	GAZ	00001093	4.3433	11.273
MAP.7192	MAP.7192.collection		man biting indoors				1990-06/1990-06	Kenya	GAZ	00001101	-0.183	34.916
MAP.7207	MAP.7192.collection		man biting indoors				1990-06/1990-06	Kenya	GAZ	00001101	-0.183	34.916
MAP.8719	MAP.8719.collection		indoor light trap	larval collection			1999-02/1999-02	Kenya	GAZ	00001101	-4.5	39.4667
MAP.11184	MAP.11184.collection		house resting inside	outside shelter artificial			1994-06/1994-08	Kenya	GAZ	00001101	-4.466	39.35
MAP.12289	MAP.12289.collection		house resting inside	animal baited net trap	man biting indoors	man biting outdoors	1987-11/1987-11	Kenya	GAZ	00001101	-0.1167	34.3833
MAP.12294	MAP.12289.collection		house resting inside	animal baited net trap	man biting indoors	man biting outdoors	1987-11/1987-11	Kenya	GAZ	00001101	-0.1167	34.3833
MAP.8159	MAP.8159.collection		house resting inside	outside shelter artificial	larval collection		1986-09/1986-10	Tanzania	GAZ	00001103	-4.2833	35.6167
