Sample Name	Assay Name	Description	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Date	Characteristics [Collection site (VBcv:0000831)]	Term Source REF	Term Accession Number	Characteristics [Collection site latitude (VBcv:0000817)]	Characteristics [Collection site longitude (VBcv:0000816)]
MAP.51136	MAP.51132.collection		larval collection				1990-09/1990-09	Belize	GAZ	00002934	17.4833	-88.35
MAP.16011	MAP.16011.collection		outlet window trap	outside shelter artificial			1985-10/1985-11	Suriname	GAZ	00002525	4.4166	-54.4666
MAP.14598	MAP.14598.collection		outdoor light trap				1991-11/1992-08	Mexico	GAZ	00002852	14.818	-92.485
MAP.14154	MAP.14154.collection		larval collection	resting outdoors	animal shed resting		1995-09/1995-09	United States of America	GAZ	00002459	32.563	-81.716
MAP.15176	MAP.15176.collection		man biting outdoors	man biting indoors			1990-07/1990-10	Guatemala	GAZ	00002936	15.258	-89.102
MAP.30404	MAP.30404.collection		man biting				2002-11/2002-11	Brazil	GAZ	00002828	2.7958	-60.6837
MAP.31626	MAP.31626.collection		larval collection				1987-10/1987-10	United States of America	GAZ	00002459	35.0143	-78.0015
MAP.40028	MAP.40028.collection		man biting indoors	man biting outdoors	resting outdoors		1989-05/1989-05	Venezuala	GAZ	00002931	7.5592	-71.8583
MAP.64139	MAP.64139.collection		carbon dioxide baited net trap				2001-12/2001-12	Argentina	GAZ	00002928	-23.1	-64.5
MAP.14807	MAP.14807.collection		resting outdoors				1992-06/1992-06	United States of America	GAZ	00002459	29.501	-82.963
MAP.14092	MAP.14092.collection		larval collection	resting outdoors	animal shed resting		1987-06/1987-06	United States of America	GAZ	00002459	29.441	-83.289
MAP.7985	MAP.7985.collection		larval collection				1985-08/1985-08	Colombia	GAZ	00002929	6.09	-77.396
MAP.65829	MAP.65829.collection		larval collection				1999-05/1999-05	Ecuador	GAZ	00002912	-0.0175	-79.3964
MAP.51457	MAP.51457.collection		larval collection				1991-04/1991-04	Belize	GAZ	00002934	17.5833	-88.3333
MAP.51460	MAP.51457.collection		larval collection				1991-04/1991-04	Belize	GAZ	00002934	17.5833	-88.3333
MAP.51461	MAP.51457.collection		larval collection				1991-04/1991-04	Belize	GAZ	00002934	17.5833	-88.3333
MAP.52903	MAP.52903.collection		man biting				1992-06/1992-06	Suriname	GAZ	00002525	5.0833	-54.9667
MAP.13384	MAP.13384.collection		larval collection				1998-12/1998-12	Venezuala	GAZ	00002931	10.57	-62.579
MAP.14573	MAP.14573.collection		outdoor light trap				1991-10/1991-11	Mexico	GAZ	00002852	14.885	-92.351
MAP.14320	MAP.14320.collection		larval collection	resting outdoors	animal shed resting		1988-06/1988-06	United States of America	GAZ	00002459	34.64	-82.86
MAP.42360	MAP.42360.collection		man biting outdoors				2000-07/2000-07	Suriname	GAZ	00002525	3.376	-54.061
MAP.14753	MAP.14753.collection		larval collection				1991-00/1993-00	Argentina	GAZ	00002928	-26.605	-65.264
MAP.15035	MAP.14753.collection		larval collection				1991-00/1993-00	Argentina	GAZ	00002928	-26.605	-65.264
MAP.30955	MAP.30955.collection		outside shelter artificial	outside shelter natural	resting outdoors		1988-00/1988-00	United States of America	GAZ	00002459	32.295	-81.456
MAP.15800	MAP.15800.collection		man biting indoors	man biting outdoors			1988-03/1988-03	Mexico	GAZ	00002852	14.801	-92.467
MAP.14764	MAP.14764.collection		larval collection				1994-08/1994-08	Belize	GAZ	00002934	17.882	-88.311
MAP.13346	MAP.13346.collection		man biting indoors	man biting outdoors			2000-03/2000-03	Brazil	GAZ	00002828	-8.608	-63.61
MAP.30473	MAP.30473.collection		man biting	house resting inside			1991-00/1998-00	Brazil	GAZ	00002828	-4.272	-55.987
MAP.42381	MAP.42381.collection		man biting outdoors				2000-03/2000-03	French Guiana	GAZ	00067144	3.374	-54.047
MAP.5136	MAP.5136.collection		outlet window trap				1985-04/1985-04	Suriname	GAZ	00002525	4.414	-54.432
MAP.14596	MAP.14596.collection		outdoor light trap				1992-05/1992-06	Mexico	GAZ	00002852	14.818	-92.485
MAP.7921	MAP.7921.collection		resting outdoors	light trap	man biting	larval collection	1990-02/1990-02	Brazil	GAZ	00002828	1.133	-52
MAP.7923	MAP.7921.collection		resting outdoors	light trap	man biting	larval collection	1990-02/1990-02	Brazil	GAZ	00002828	1.133	-52
MAP.7925	MAP.7921.collection		resting outdoors	light trap	man biting	larval collection	1990-02/1990-02	Brazil	GAZ	00002828	1.133	-52
MAP.13378	MAP.13378.collection		larval collection				1998-09/1998-09	Venezuala	GAZ	00002931	10.583	-62.935
MAP.13260	MAP.13260.collection		man biting				1989-00/1999-00	Venezuala	GAZ	00002931	7.647	-66.173
MAP.15349	MAP.15349.collection		outdoor light trap	carbon dioxide baited net trap			1992-01/1993-01	Brazil	GAZ	00002828	-24.605	-47.879
MAP.64188	MAP.64188.collection		carbon dioxide baited net trap				2001-12/2005-11	Argentina	GAZ	00002928	-22.733	-64.368
MAP.16023	MAP.16023.collection		outlet window trap				1985-11/1985-12	Suriname	GAZ	00002525	4.4166	-54.4666
MAP.13365	MAP.13365.collection		man biting indoors	man biting outdoors			1997-06/1997-06	Brazil	GAZ	00002828	-9.086	-63.668
MAP.15060	MAP.15060.collection							Guatemala	GAZ	00002936	14.751	-90.967
MAP.62868	MAP.62868.collection		man biting outdoors				1970-01/2005-12	Panama	GAZ	00002892	9.034	-82.251
MAP.13391	MAP.13391.collection		man biting outdoors				1999-09/1999-10	Brazil	GAZ	00002828	0.0333	-51.25
MAP.13399	MAP.13391.collection		man biting outdoors				1999-09/1999-10	Brazil	GAZ	00002828	0.0333	-51.25
MAP.13407	MAP.13391.collection		man biting outdoors				1999-09/1999-10	Brazil	GAZ	00002828	0.0333	-51.25
MAP.42412	MAP.42412.collection		man biting outdoors				2000-08/2000-08	French Guiana	GAZ	00067144	3.391	-53.928
MAP.15755	MAP.15755.collection		larval collection				1988-07/1988-10	United States of America	GAZ	00002459	38.739	-120.677
MAP.14725	MAP.14725.collection		larval collection				1991-00/1993-00	Guatemala	GAZ	00002936	15.317	-90.354
MAP.15810	MAP.15810.collection		man biting indoors	man biting outdoors			1986-06/1986-06	Mexico	GAZ	00002852	14.56	-92.25
MAP.44974	MAP.44974.collection		larval collection				2001-02/2001-06	Mexico	GAZ	00002852	15.118	-92.204
MAP.44975	MAP.44974.collection		larval collection				2001-02/2001-06	Mexico	GAZ	00002852	15.118	-92.204
MAP.15876	MAP.15876.collection		man biting outdoors				1987-12/1987-12	Colombia	GAZ	00002929	4.8214	-76.7806
MAP.64322	MAP.64322.collection		larval collection				1997-01/1997-02	Brazil	GAZ	00002828	-3.8833	-61.3667
MAP.64323	MAP.64322.collection		larval collection				1997-01/1997-02	Brazil	GAZ	00002828	-3.8833	-61.3667
MAP.64324	MAP.64322.collection		larval collection				1997-01/1997-02	Brazil	GAZ	00002828	-3.8833	-61.3667
