id	latitude	longitude	country id	species	year start	year end	month start	month end	id method1	id method2	sample method1	sample method2	sample method3	sample method4	ASSI	citation
5095	-3.8447	-73.3864	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	7	7	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5096	-3.8272	-73.3761	PER	"Anopheles (Nyssorhynchus) darlingi Root, 1926"	2003	2003	4	7	morphology		man biting					"Branch, O., Casapia, W.M., Gamboa, D.V., Hernandez, J.N., Alava, F.F., Roncal, N., Alvarez, E., Perez, E.J. and Gotuzzo, E. (2005).  <b>Clustered local transmission and asymptomatic <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections in a recently emerged, hypoendemic Peruvian Amazon community.</b> <i>Malaria Journal</i>, <b>4</b>:27"
5098	3.816	-77.001	COL	Anopheles (Nyssorhynchus) nuneztovari species complex	1993	1993	9	9	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5099	3.816	-77.001	COL	Anopheles (Nyssorhynchus) nuneztovari species complex	1994	1994	1	1	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5100	3.816	-77.001	COL	Anopheles (Nyssorhynchus) nuneztovari species complex	1994	1994	9	9	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5101	3.816	-77.001	COL	Anopheles (Nyssorhynchus) nuneztovari species complex	1995	1995	1	1	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5102	3.816	-77.001	COL	Anopheles (Nyssorhynchus) nuneztovari species complex	1995	1995	9	9	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5103	3.816	-77.001	COL	Anopheles (Nyssorhynchus) nuneztovari species complex	1993	1995	9	11	morphology		man biting					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5104	3.816	-77.001	COL	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1993	1993	9	9	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
5105	3.816	-77.001	COL	"Anopheles (Nyssorhynchus) albimanus Wiedemann, 1820"	1994	1994	1	1	morphology		larval collection					"González, J.M., Olano, V., Vergara, J., Arévalo-Herrera, M., Carrasquilla, G., Herrera, S. and López, J.A. (1997).  <b>Unstable, low-level transmission of malaria on the Colombian Pacific Coast.</b> <i>Annals of Tropical Medicine and Parasitology</i>, <b>91</b>(4):349-58"
